,0,1,2
267,67000,tensor(0.0193),tensor(97.4694)
268,67250,tensor(0.0419),tensor(97.7526)
269,67500,tensor(0.0753),tensor(97.2958)
270,67750,tensor(0.1168),tensor(97.6019)
271,68000,tensor(0.0146),tensor(97.6475)
272,68250,tensor(0.0190),tensor(97.7435)
273,68500,tensor(0.0350),tensor(97.6567)
274,68750,tensor(0.0516),tensor(97.3461)
275,69000,tensor(0.0414),tensor(97.5790)
276,69250,tensor(0.0830),tensor(97.6795)
277,69500,tensor(0.0404),tensor(97.5699)
278,69750,tensor(0.0432),tensor(97.5882)
279,70000,tensor(0.0177),tensor(97.6247)
280,70250,tensor(0.0285),tensor(97.5653)
281,70500,tensor(0.0656),tensor(97.5425)
282,70750,tensor(0.0413),tensor(97.5882)
283,71000,tensor(0.0624),tensor(97.3780)
284,71250,tensor(0.0544),tensor(97.3872)
285,71500,tensor(0.1379),tensor(97.7069)
286,71750,tensor(0.0024),tensor(97.6932)
287,72000,tensor(0.0730),tensor(97.5288)
288,72250,tensor(0.0213),tensor(97.4922)
289,72500,tensor(0.0219),tensor(97.6064)
290,72750,tensor(0.0421),tensor(97.6384)
291,73000,tensor(0.0210),tensor(97.4831)
292,73250,tensor(0.0121),tensor(97.5288)
293,73500,tensor(0.0539),tensor(97.6978)
294,73750,tensor(0.0173),tensor(97.6932)
295,74000,tensor(0.0150),tensor(97.4237)
296,74250,tensor(0.0590),tensor(97.4283)
297,74500,tensor(0.0693),tensor(97.3232)
298,74750,tensor(0.0713),tensor(97.7115)
299,75000,tensor(0.0070),tensor(97.5927)
300,75250,tensor(0.0228),tensor(97.7526)
301,75500,tensor(0.0984),tensor(97.5653)
302,75750,tensor(0.0180),tensor(97.6521)
303,76000,tensor(0.0362),tensor(97.4694)
304,76250,tensor(0.0392),tensor(97.3232)
305,76500,tensor(0.0546),tensor(97.6110)
306,76750,tensor(0.0052),tensor(97.6932)
307,77000,tensor(0.0718),tensor(97.7161)
308,77250,tensor(0.0490),tensor(97.6293)
309,77500,tensor(0.0778),tensor(97.5699)
310,77750,tensor(0.0068),tensor(97.4466)
311,78000,tensor(0.0286),tensor(97.4648)
312,78250,tensor(0.0515),tensor(97.7480)
313,78500,tensor(0.0032),tensor(97.5836)
314,78750,tensor(0.0217),tensor(97.7206)
315,79000,tensor(0.0553),tensor(97.6384)
316,79250,tensor(0.0502),tensor(97.8166)
317,79500,tensor(0.0719),tensor(97.6612)
318,79750,tensor(0.0352),tensor(97.5242)
319,80000,tensor(0.0455),tensor(97.5882)
320,80250,tensor(0.0557),tensor(97.6612)
321,80500,tensor(0.0078),tensor(97.5973)
322,80750,tensor(0.0345),tensor(97.6567)
323,81000,tensor(0.0556),tensor(97.5927)
324,81250,tensor(0.0204),tensor(97.5836)
325,81500,tensor(0.1062),tensor(97.6612)
326,81750,tensor(0.0037),tensor(97.7343)
327,82000,tensor(0.0791),tensor(97.6658)
328,82250,tensor(0.0512),tensor(97.7800)
329,82500,tensor(0.0746),tensor(97.5333)
330,82750,tensor(0.0140),tensor(97.5653)
331,83000,tensor(0.1014),tensor(97.6338)
332,83250,tensor(0.0495),tensor(97.7024)
333,83500,tensor(0.0638),tensor(97.7115)
334,83750,tensor(0.0484),tensor(97.7389)
335,84000,tensor(0.0319),tensor(97.7480)
336,84250,tensor(0.0483),tensor(97.6338)
337,84500,tensor(0.0287),tensor(97.5653)
338,84750,tensor(0.0771),tensor(97.6795)
339,85000,tensor(0.0105),tensor(97.6019)
340,85250,tensor(0.0873),tensor(97.7663)
341,85500,tensor(0.0197),tensor(97.6567)
342,85750,tensor(0.0147),tensor(97.7480)
343,86000,tensor(0.0406),tensor(97.7024)
344,86250,tensor(0.0952),tensor(97.5836)
345,86500,tensor(0.1435),tensor(97.6932)
346,86750,tensor(0.0142),tensor(97.6704)
347,87000,tensor(0.0233),tensor(97.6567)
348,87250,tensor(0.0099),tensor(97.4283)
349,87500,tensor(0.0062),tensor(97.7663)
